#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:seqs" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:seqs" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:seqs" lower="0.0" name="popSize">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:seqs" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:seqs">
#                    <trait id="dateTrait.t:seqs" spec="beast.evolution.tree.TraitSet" traitname="date">
#                23_6.2291=6.2291,
#6_9.0418=9.0418,
#3_9.2292=9.2292,
#24_6.1965=6.1965,
#10_8.2776=8.2776,
#26_5.5046=5.5046,
#12_8.1208=8.1208,
#34_3.9207=3.9207,
#29_4.9566=4.9566,
#31_4.5777=4.5777,
#1_9.7657=9.7657,
#15_7.5962=7.5962,
#14_7.6988=7.6988,
#11_8.1625=8.1625,
#28_5.3543=5.3543,
#7_8.7836=8.7836,
#21_6.4781=6.4781,
#4_9.0679=9.0679,
#2_9.3451=9.3451,
#22_6.4532=6.4532,
#5_9.0676=9.0676,
#27_5.455=5.455,
#9_8.3274=8.3274,
#32_4.2478=4.2478,
#20_6.8164=6.8164,
#25_6.0094=6.0094,
#33_4.1652=4.1652,
#35_2.4264=2.4264,
#17_7.0269=7.0269,
#36_1.8347=1.8347,
#19_6.8397=6.8397,
#30_4.8928=4.8928,
#18_6.8896=6.8896,
#16_7.2114=7.2114,
#13_7.7576=7.7576,
#8_8.6063=8.6063                
#                                    <taxa id="TaxonSet.seqs" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.seqs"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ClockPrior.c:seqs" name="distribution">
#            <parameter id="clockRate.c:seqs" lower="0.0" name="x">0.1</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="PopSizePrior.t:seqs" name="distribution" x="@popSize.t:seqs">
#            <OneOnX id="OneOnX.0" name="distr"/>
#        </prior>
#        <prior id="RateACPrior.s:seqs" name="distribution">
#            <parameter id="rateAC.s:seqs" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.01" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateAGPrior.s:seqs" name="distribution">
#            <parameter id="rateAG.s:seqs" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.01" name="distr">
#                <parameter estimate="false" id="RealParameter.02" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.03" name="beta">20.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateATPrior.s:seqs" name="distribution">
#            <parameter id="rateAT.s:seqs" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.02" name="distr">
#                <parameter estimate="false" id="RealParameter.04" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.05" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateCGPrior.s:seqs" name="distribution">
#            <parameter id="rateCG.s:seqs" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.03" name="distr">
#                <parameter estimate="false" id="RealParameter.06" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.07" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateGTPrior.s:seqs" name="distribution">
#            <parameter id="rateGT.s:seqs" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.04" name="distr">
#                <parameter estimate="false" id="RealParameter.08" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.09" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@seqs" id="treeLikelihood.seqs" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:seqs">
#            <siteModel id="SiteModel.s:seqs" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:seqs" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:seqs" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:seqs" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="gtr.s:seqs" rateAC="@rateAC.s:seqs" rateAG="@rateAG.s:seqs" rateAT="@rateAT.s:seqs" rateCG="@rateCG.s:seqs" rateGT="@rateGT.s:seqs" spec="beast.evolution.substitutionmodel.GTR">
#                    <parameter estimate="false" id="rateCT.s:seqs" lower="0.0" name="rateCT">1.0</parameter>
#                    <frequencies id="estimatedFreqs.s:seqs" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:seqs" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:seqs" id="StrictClock.c:seqs" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	rateAC	rateAG	rateAT	rateCG	rateGT	popSize	CoalescentConstant	
0	-13755.888497339325	-13670.777932527453	-85.1105648118724	-13670.777932527453	8.542141482004567	0.1	0.25	0.25	0.25	0.25	1.0	1.0	1.0	1.0	1.0	0.3	-70.40983797866318	
1000	-11137.418604621384	-11053.909432304234	-83.5091723171494	-11053.909432304234	8.2235055184373	0.06471845896388354	0.25	0.2589868503177379	0.25	0.24101314968226215	1.1566952873117704	1.0	1.0	1.0	1.0	3.1477712265750095	-66.30381979898897	
2000	-10627.611922291335	-10536.886821897911	-90.72510039342419	-10536.886821897911	8.2235055184373	0.061967348940008916	0.25	0.2589868503177379	0.25	0.24101314968226215	1.1566952873117704	1.0	1.0	1.0	1.0	2.508445438343955	-73.74677931655702	
3000	-10563.744659450796	-10470.781591062434	-92.96306838836207	-10470.781591062434	8.129081420754822	0.061967348940008916	0.25	0.2586101046031262	0.25037674571461166	0.24101314968226215	1.1566952873117704	0.9964848527484836	1.0205302120202948	1.0	1.0	4.1387955111228445	-75.46616753584253	
4000	-10401.910031124338	-10308.392762648875	-93.51726847546406	-10308.392762648875	8.129081420754822	0.05876661059788807	0.25	0.2511755570638045	0.25037674571461166	0.24844769722158386	1.1566952873117704	0.9964848527484836	1.0205302120202948	1.0	0.8476054856254847	3.1927198493792717	-76.45221169128575	
5000	-10250.879583615168	-10152.420765195297	-98.45881841987016	-10152.420765195297	8.010776568483399	0.051338866335453676	0.25	0.24459911853949795	0.25037674571461166	0.2550241357458904	1.0458179559796068	0.9964848527484836	1.0205302120202948	1.0	0.8476054856254847	4.1896710317693495	-81.22882967154393	
6000	-10256.36928870725	-10156.793315634177	-99.57597307307329	-10156.793315634177	8.046040512299456	0.051338866335453676	0.25957391588490414	0.2502357247276142	0.25037674571461166	0.23981361367287005	1.0458179559796068	0.9082670857989839	1.0205302120202948	1.0	0.8476054856254847	4.3629262685214885	-82.39793512006611	
7000	-10157.05768832458	-10054.293226347236	-102.76446197734352	-10054.293226347236	8.043188107392687	0.042409695833233	0.2547818278360966	0.2480563436870893	0.25037674571461166	0.24678508276220248	1.0458179559796068	0.9082670857989839	1.0205302120202948	1.0	0.8476054856254847	4.058854945227414	-85.6586661184338	
8000	-10139.665501017695	-10034.113320441289	-105.55218057640595	-10034.113320441289	7.962866922603532	0.042409695833233	0.25407002083527924	0.24876815068790667	0.25037674571461166	0.24678508276220248	0.9742197581264357	0.9082670857989839	1.0205302120202948	1.0	0.8476054856254847	5.15461881861741	-88.28192407143015	
9000	-10131.40342155153	-10023.059172658643	-108.34424889288753	-10023.059172658643	7.962866922603532	0.042409695833233	0.2483755800507689	0.25207167597030283	0.25276766121672584	0.24678508276220248	0.9742197581264357	0.9082670857989839	1.0205302120202948	1.0	0.8476054856254847	4.179788809836307	-91.28362483733684	
10000	-10139.91282497958	-10030.096661629043	-109.81616335053756	-10030.096661629043	8.004497606025192	0.042409695833233	0.2483755800507689	0.2533536327815811	0.25370621328642223	0.24456457388122782	0.9742197581264357	0.975343906225923	1.0205302120202948	1.0	0.8476054856254847	3.967457859514019	-92.73663155540812	
11000	-10134.80567182388	-10023.31911336967	-111.48655845421135	-10023.31911336967	7.992859980221326	0.042409695833233	0.24760650235086967	0.2533536327815811	0.25370621328642223	0.24533365158112705	0.9742197581264357	0.975343906225923	1.0205302120202948	1.0	0.8476054856254847	3.6856101810346167	-94.48071611400576	
12000	-10132.582365105276	-10021.578491001485	-111.00387410379076	-10021.578491001485	7.992859980221326	0.042409695833233	0.24760650235086967	0.2450483162983847	0.25370621328642223	0.25363896806432346	1.1198624456186577	0.975343906225923	1.0205302120202948	1.0	0.8476054856254847	5.313986477591971	-93.48520326330255	
13000	-10085.642738812445	-9974.0968398477	-111.54589896474516	-9974.0968398477	7.992859980221326	0.042409695833233	0.24760650235086967	0.2450483162983847	0.24955507011611922	0.2577901112346265	1.1198624456186577	0.975343906225923	1.0205302120202948	0.9187697403586882	0.8476054856254847	5.516631067044718	-94.0784098483012	
14000	-9812.004895534168	-9695.469675981672	-116.5352195524953	-9695.469675981672	7.992859980221326	0.03514063108022567	0.24760650235086967	0.2468953741054856	0.24955507011611922	0.2559430534275256	1.0592599788714259	0.975343906225923	1.0205302120202948	0.9187697403586882	0.8476054856254847	6.466222717244456	-98.96781948335281	
15000	-9779.379186711689	-9654.145986493406	-125.233200218283	-9654.145986493406	7.992859980221326	0.03328635759555269	0.2545585918303179	0.24801792496018968	0.24955507011611922	0.24786841309337326	1.0592599788714259	0.975343906225923	1.0205302120202948	1.005744520018525	0.7281691099744363	11.366948826093308	-107.1632909626374	
16000	-9772.849525274187	-9647.701083086136	-125.14844218805091	-9647.701083086136	7.959750795835363	0.03328635759555269	0.2545585918303179	0.25382097811223464	0.24375201696407423	0.24786841309337326	1.0592599788714259	0.975343906225923	1.0205302120202948	0.9275355133790155	0.9287843330165853	4.925287063513873	-107.74834824989924	
17000	-9765.43110090472	-9642.328160375344	-123.10294052937537	-9642.328160375344	7.959750795835363	0.03328635759555269	0.2545585918303179	0.25941290588192495	0.23816008919438392	0.24786841309337326	1.0592599788714259	0.975343906225923	1.0205302120202948	0.9275355133790155	0.8865720223216308	7.763676917661607	-105.29618281741787	
18000	-9742.033007779728	-9614.19929416631	-127.83371361341862	-9614.19929416631	7.960985196275456	0.03328635759555269	0.2545585918303179	0.25941290588192495	0.23816008919438392	0.24786841309337326	1.0592599788714259	0.975343906225923	1.0205302120202948	0.9275355133790155	0.8865720223216308	11.150360023805693	-109.66494016651461	
