#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="BirthDeath.t:coding" spec="beast.base.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:coding" lower="0.0" name="relativeDeathRate" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:coding" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:coding" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.coding" spec="beast.base.evolution.alignment.TaxonSet">
#                    <alignment filter="2-457,660-896" id="coding" spec="beast.base.evolution.alignment.FilteredAlignment">
#                    </alignment>
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:coding" name="distribution" x="@BDBirthRate.t:coding">
#            <Uniform id="Uniform.15" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:coding" name="distribution" x="@BDDeathRate.t:coding">
#            <Uniform id="Uniform.16" name="distr"/>
#        </prior>
#        <prior id="FrequenciesPrior.s:coding" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:coding" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <distr id="Dirichlet.0" spec="beast.base.inference.distribution.Dirichlet">
#                <parameter dimension="4" estimate="false" id="RealParameter.7" name="alpha" spec="beast.base.inference.parameter.RealParameter">4.0 4.0 4.0 4.0</parameter>
#            </distr>
#        </prior>
#        <prior id="GammaShapePrior.s:coding" name="distribution">
#            <parameter id="gammaShape.s:coding" lower="0.1" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:coding" name="distribution">
#            <parameter id="kappa.s:coding" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.5" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.6" name="S" spec="beast.base.inference.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@coding" id="treeLikelihood.coding" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:coding">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:coding" shape="@gammaShape.s:coding" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:coding" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:coding" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:coding" kappa="@kappa.s:coding" spec="beast.base.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:coding" id="estimatedFreqs.s:coding" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:coding" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:coding" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	gammaShape	BirthDeath	BDBirthRate	BDDeathRate
0	-8757.61289256094	-8750.031232503221	-7.581660057718157	-8750.031232503221	1.579410053969593	5.126730964596362	2.0	0.25	0.25	0.25	0.25	1.0	-1.9052459182517196	1.0	0.5
1000	-5258.83385992827	-5251.985057430994	-6.84880249727539	-5251.985057430994	0.4929901828980306	3.4893041389181003	2.0	0.25	0.25	0.25	0.25	1.0	-1.1723883578089527	0.7690049721186953	0.5867553638287001
2000	-5074.469750410588	-5075.207574921865	0.7378245112769104	-5075.207574921865	0.29245263725054804	1.8527695551088756	2.0	0.25	0.25	0.25	0.25	1.0	6.414238650743348	9.278420659895714	0.17552039294985597
3000	-5058.955172350392	-5062.14749510696	3.1923227565683163	-5062.14749510696	0.2977519106212675	1.7947274389176169	2.0	0.25	0.25	0.25	0.25	1.0	8.868736896034754	6.229926611280411	0.06298361240503786
4000	-5048.772008841276	-5050.650032736779	1.878023895503325	-5050.650032736779	0.34673158485753514	2.0157547045516586	2.151542243138257	0.25	0.25	0.25	0.25	1.0	7.614839232103376	5.364851077610129	0.06435085775050531
5000	-5044.330897424865	-5046.250187989939	1.91929056507468	-5046.250187989939	0.3361389627201784	1.954461815846154	2.151542243138257	0.25	0.25	0.25	0.25	1.0	7.6561059016747315	4.060563889755887	0.17022167918519696
6000	-5026.394578631294	-5028.7171219009115	2.3225432696169213	-5028.7171219009115	0.299023710558534	1.8481561299691105	2.374785991333709	0.25	0.25	0.25	0.25	1.0	8.146426794052736	5.095359094490788	0.338076599738363
7000	-5029.534194315293	-5030.74793822483	1.21374390953787	-5030.74793822483	0.3364087793625495	1.9542351370450224	2.374785991333709	0.25	0.25	0.25	0.25	1.0	7.037627433973685	5.464810307536726	0.4163638256749118
8000	-5028.314965984208	-5029.7735890311205	1.458623046912007	-5029.7735890311205	0.29378798415330887	1.8588839442101381	2.374785991333709	0.25	0.25	0.25	0.25	1.0	7.282506571347822	6.710158250674155	0.35396288978509033
9000	-5024.2551168863365	-5026.6377930767285	2.382676190392046	-5026.6377930767285	0.3101050329214969	1.8783529104231058	2.374785991333709	0.25	0.25	0.25	0.25	1.0	8.206559714827861	6.986206315979257	0.026500711325499138
10000	-5028.2723944850495	-5030.692441826159	2.4200473411095986	-5030.692441826159	0.30530674287877163	1.8577065657870495	2.374785991333709	0.25	0.25	0.25	0.25	1.0	8.243930865545414	4.293092091234948	0.2831994731242717
11000	-5014.286213688529	-5016.020018870435	1.7338051819060518	-5016.020018870435	0.3324760997142038	1.9489909604221791	2.56960118542535	0.25	0.25	0.25	0.25	1.0	7.631704552594753	4.93875036262272	0.323186388088951
12000	-5002.589185861651	-5003.746229159474	1.1570432978234226	-5003.746229159474	0.333024870761985	2.04230636222196	2.8975535206898955	0.25	0.25	0.25	0.25	1.0	7.175351523702303	4.7261844107097755	0.2751893037185761
13000	-4998.366937163687	-5000.464807827667	2.097870663980138	-5000.464807827667	0.3136541624861761	1.8988237546688962	2.8975535206898955	0.25	0.25	0.25	0.25	1.0	8.116178889859018	5.585993410429649	0.1756899609016692
14000	-5000.801484857069	-5001.567522063778	0.7660372067086865	-5001.567522063778	0.34861716049279834	2.047163961942355	2.8975535206898955	0.25	0.25	0.25	0.25	1.0	6.784345432587567	2.868812305383411	0.49453346886788696
15000	-4920.520124895614	-4916.68268053619	-3.837444359423719	-4916.68268053619	0.43004577869600497	2.5009663409617677	5.089379197996231	0.33352020331355064	0.2890280603747952	0.20859957423951517	0.168852162072139	0.7405703532208437	3.0298110639755214	2.6043754851365	0.7770415182435967
16000	-4913.188778579743	-4911.021587688306	-2.167190891436814	-4911.021587688306	0.4433116592122077	2.4125116465188747	5.089379197996231	0.33352020331355064	0.2890280603747952	0.20859957423951517	0.168852162072139	0.5802274143120332	4.539721593053616	1.1502212469035633	0.8239866873647055
17000	-4910.584093636497	-4909.002119471648	-1.5819741648479198	-4909.002119471648	0.4499541976611092	2.4988902337655	5.089379197996231	0.32759462209769624	0.29495364159064963	0.20859957423951517	0.168852162072139	0.5802274143120332	5.117834585657334	4.181288728502561	0.2207938575313839
18000	-4901.453280422559	-4900.112055318534	-1.3412251040255565	-4900.112055318534	0.4093009173662011	2.3093333515765546	5.089379197996231	0.3179424311098466	0.29495364159064963	0.20859957423951517	0.17850435305998863	0.5802274143120332	5.2815351482692385	5.1791466423977335	0.3528448119334639
19000	-4903.57870113881	-4901.5248618647865	-2.0538392740239537	-4901.5248618647865	0.4645806573323787	2.498312949611723	5.089379197996231	0.3179424311098466	0.29495364159064963	0.20859957423951517	0.17850435305998863	0.5802274143120332	4.5689209782708415	4.835552091196997	0.33261060547757054
20000	-4904.03782369432	-4901.836612190718	-2.201211503601722	-4901.836612190718	0.4801593226739532	2.594940808030992	5.089379197996231	0.3179424311098466	0.29495364159064963	0.20859957423951517	0.17850435305998863	0.5802274143120332	4.421548748693073	4.468369158330413	0.2854947178024705
21000	-4905.949458869593	-4904.709958299741	-1.2395005698527413	-4904.709958299741	0.41852315766929266	2.3724473690718595	5.089379197996231	0.3179424311098466	0.29495364159064963	0.20859957423951517	0.17850435305998863	0.5802274143120332	5.383259682442054	3.186283631339558	0.12048440008414817
22000	-4876.946150282604	-4876.317818489406	-0.6283317931984083	-4876.317818489406	0.3921388483581941	2.3605868041772795	3.38655523676815	0.2584462729944372	0.3569765854438928	0.16493102193977058	0.21964611962189953	0.4779235519066234	5.5058247344225455	3.1063482602934864	0.30877550075072924
23000	-4856.430996583829	-4856.631840698866	0.2008441150367446	-4856.631840698866	0.3565901655837331	2.1188936108822225	3.38655523676815	0.2584462729944372	0.3569765854438928	0.1590015583996897	0.2255755831619804	0.6527942296011034	6.539798585929428	6.206871554188545	0.16230847139407023
24000	-4852.615762473957	-4852.535187107864	-0.08057536609357019	-4852.535187107864	0.41609246387484233	2.251194397133671	3.6784545888332043	0.2584462729944372	0.3569765854438928	0.1590015583996897	0.2255755831619804	0.6527942296011034	6.354877442557557	5.288928274863887	0.06048500180172728
25000	-4850.1513860834275	-4849.789783279392	-0.3616028040347663	-4849.789783279392	0.37462074234224707	2.1728409793746795	3.6784545888332043	0.2584462729944372	0.3569765854438928	0.1590015583996897	0.2255755831619804	0.6527942296011034	6.073850004616361	2.4026652097421013	0.5916545250815837
26000	-4845.353703420647	-4845.525475969839	0.17177254919163953	-4845.525475969839	0.3487836568204869	2.1246290028933097	3.9082016503387673	0.2584462729944372	0.3569765854438928	0.1590015583996897	0.2255755831619804	0.6527942296011034	6.680713432808841	5.397914342402021	0.22342474724837919
27000	-4850.047963767592	-4849.1532352557915	-0.8947285118001957	-4849.1532352557915	0.4025663349692441	2.3752443036286914	3.9082016503387673	0.2584462729944372	0.3569765854438928	0.1590015583996897	0.2255755831619804	0.6527942296011034	5.614212371817006	5.60678974357178	0.015551968254574777
28000	-4831.734695045378	-4832.340079620322	0.6053845749439057	-4832.340079620322	0.3479343185015771	2.0870326799126695	3.9082016503387673	0.2584462729944372	0.3569765854438928	0.14688022640343837	0.23769691515823174	0.6527942296011034	7.195191724074223	4.613924422873976	0.041605274098790695
29000	-4828.583501888346	-4827.958886040477	-0.624615847868883	-4827.958886040477	0.4082242548155169	2.2937519685775727	4.1253992718900925	0.2584462729944372	0.3569765854438928	0.14688022640343837	0.23769691515823174	0.6527942296011034	6.03278066835291	4.279855091854633	0.2592753490492669
30000	-4825.147163332484	-4823.34583219752	-1.801331134963232	-4823.34583219752	0.4098950567062694	2.332268676958047	4.1253992718900925	0.2584462729944372	0.3569765854438928	0.14688022640343837	0.23769691515823174	0.6527942296011034	4.856065381258561	4.621953389826536	0.4853388461104157
31000	-4826.826201318894	-4826.373527808959	-0.45267350993501765	-4826.373527808959	0.3761149310092695	2.2557249213783304	4.1253992718900925	0.2584462729944372	0.3569765854438928	0.14688022640343837	0.23769691515823174	0.6527942296011034	6.204723006286775	3.895861812886024	0.2650683626589061
