#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="BirthDeath.t:coding" spec="beast.base.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:coding" lower="0.0" name="relativeDeathRate" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:coding" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:coding" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.coding" spec="beast.base.evolution.alignment.TaxonSet">
#                    <alignment filter="2-457,660-896" id="coding" spec="beast.base.evolution.alignment.FilteredAlignment">
#                    </alignment>
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:coding" name="distribution" x="@BDBirthRate.t:coding">
#            <Uniform id="Uniform.15" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:coding" name="distribution" x="@BDDeathRate.t:coding">
#            <Uniform id="Uniform.16" name="distr"/>
#        </prior>
#        <prior id="FrequenciesPrior.s:coding" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:coding" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <distr id="Dirichlet.0" spec="beast.base.inference.distribution.Dirichlet">
#                <parameter dimension="4" estimate="false" id="RealParameter.7" name="alpha" spec="beast.base.inference.parameter.RealParameter">4.0 4.0 4.0 4.0</parameter>
#            </distr>
#        </prior>
#        <prior id="GammaShapePrior.s:coding" name="distribution">
#            <parameter id="gammaShape.s:coding" lower="0.1" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:coding" name="distribution">
#            <parameter id="kappa.s:coding" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.5" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.6" name="S" spec="beast.base.inference.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@coding" id="treeLikelihood.coding" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:coding">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:coding" shape="@gammaShape.s:coding" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:coding" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:coding" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:coding" kappa="@kappa.s:coding" spec="beast.base.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:coding" id="estimatedFreqs.s:coding" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:coding" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:coding" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	gammaShape	BirthDeath	BDBirthRate	BDDeathRate
0	-6036.484035155651	-6018.094790641394	-18.389244514257598	-6018.094790641394	0.9875904492592139	10.065321745529426	2.0	0.25	0.25	0.25	0.25	1.0	-12.712830374791162	1.0	0.5
1000	-5171.917144658623	-5169.339797711624	-2.577346946999427	-5169.339797711624	0.38421939739579625	2.7295684315139637	2.0	0.25	0.25	0.25	0.25	1.0	3.099067192467011	2.0113729901394555	0.3412597047325493
2000	-5068.765922414375	-5071.097520560416	2.331598146040709	-5071.097520560416	0.3010432270726053	1.9385254349268561	2.0	0.25	0.25	0.25	0.25	0.7106038614482195	7.718616146955366	4.977459384305147	0.2413448054022666
3000	-5053.91957443708	-5056.364063381754	2.444488944674072	-5056.364063381754	0.3255591704319422	1.9409645863156255	2.0	0.25	0.25	0.25	0.25	0.7106038614482195	7.831506945588729	4.57443458102179	0.28868445515043845
4000	-5038.2170719462765	-5039.051819628844	0.8347476825672233	-5039.051819628844	0.3078246390345937	1.8067719553677763	2.262628250109053	0.25	0.25	0.25	0.25	0.7106038614482195	6.325786754088739	10.946367333478738	0.04633669363226178
5000	-5037.709272771735	-5040.537344325996	2.8280715542607924	-5040.537344325996	0.3514440016439493	1.8903077732649767	2.262628250109053	0.25	0.25	0.25	0.25	0.7106038614482195	8.319110625782308	5.661368415035125	0.08438441699930561
6000	-5023.74805511377	-5027.195163411374	3.44710829760457	-5027.195163411374	0.27523078928703754	1.712051873136254	2.459178160741721	0.25	0.25	0.25	0.25	0.7106038614482195	9.013886630104842	4.358678205569078	0.3477392994378362
7000	-5018.874786303651	-5021.33647917403	2.461692870378998	-5021.33647917403	0.3219719735756854	1.9456026821297547	2.459178160741721	0.25	0.25	0.25	0.25	0.7106038614482195	8.02847120287927	5.633219141199899	0.02865967482230949
8000	-5025.359375621685	-5023.3847800007725	-1.974595620912299	-5023.3847800007725	0.36923139364256874	2.081306643344501	2.459178160741721	0.25	0.25	0.25	0.25	0.7106038614482195	3.5921827115879736	1.0537391224643433	0.573441868336088
9000	-5011.301043222677	-5013.724235141494	2.4231919188172055	-5013.724235141494	0.3023109862139355	1.8668597834619258	2.5861349540637097	0.25	0.25	0.25	0.25	0.7106038614482195	8.03789118144015	4.1418664887177465	0.3757980181250496
10000	-5006.0017974385455	-5007.532043026774	1.5302455882280457	-5007.532043026774	0.3519983825845747	2.08001396015225	2.5861349540637097	0.25	0.25485935487404743	0.24514064512595257	0.25	0.7106038614482195	7.146078504849257	4.610030124652026	0.18412090222100969
11000	-5003.288963507939	-5005.316430120609	2.0274666126695786	-5005.316430120609	0.31584529434394126	1.9373703535604812	2.5861349540637097	0.25	0.25485935487404743	0.24514064512595257	0.25	0.7106038614482195	7.64329952929079	5.101443309855297	0.3244881477757389
12000	-5013.6631760733	-5017.284890635863	3.6217145625631213	-5017.284890635863	0.2558688831049219	1.5716439740604173	2.5861349540637097	0.25	0.25485935487404743	0.24514064512595257	0.25	0.7106038614482195	9.237547479184332	3.8155165342206185	0.18436252071819084
13000	-5003.309339389108	-5005.723467870498	2.414128481390443	-5005.723467870498	0.3449946694920888	1.9188718064749928	2.5861349540637097	0.25	0.25485935487404743	0.24514064512595257	0.25	0.7106038614482195	8.029961398011654	4.549307919600203	0.16293154123084522
14000	-4924.5817187211005	-4924.582233637971	5.149168696783057E-4	-4924.582233637971	0.4008285397308473	2.2564401524349176	3.728856428847209	0.25886781411821463	0.2529665208588065	0.21318000932560421	0.2749856556973747	0.5752371845340308	5.929203663361598	3.4515911564309016	0.060499236696938526
15000	-4928.178387999196	-4928.67369062009	0.4953026208942899	-4928.67369062009	0.35851417555885595	2.1103168593986577	3.728856428847209	0.25886781411821463	0.2529665208588065	0.21318000932560421	0.2749856556973747	0.5752371845340308	6.4239913673862095	6.657747674623992	0.13800234662550076
