#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:seqs" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:seqs" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:seqs" lower="0.0" name="popSize">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:seqs" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:seqs">
#                    <trait id="dateTrait.t:seqs" spec="beast.evolution.tree.TraitSet" traitname="date">
#                23_6.2291=6.2291,
#6_9.0418=9.0418,
#3_9.2292=9.2292,
#24_6.1965=6.1965,
#10_8.2776=8.2776,
#26_5.5046=5.5046,
#12_8.1208=8.1208,
#34_3.9207=3.9207,
#29_4.9566=4.9566,
#31_4.5777=4.5777,
#1_9.7657=9.7657,
#15_7.5962=7.5962,
#14_7.6988=7.6988,
#11_8.1625=8.1625,
#28_5.3543=5.3543,
#7_8.7836=8.7836,
#21_6.4781=6.4781,
#4_9.0679=9.0679,
#2_9.3451=9.3451,
#22_6.4532=6.4532,
#5_9.0676=9.0676,
#27_5.455=5.455,
#9_8.3274=8.3274,
#32_4.2478=4.2478,
#20_6.8164=6.8164,
#25_6.0094=6.0094,
#33_4.1652=4.1652,
#35_2.4264=2.4264,
#17_7.0269=7.0269,
#36_1.8347=1.8347,
#19_6.8397=6.8397,
#30_4.8928=4.8928,
#18_6.8896=6.8896,
#16_7.2114=7.2114,
#13_7.7576=7.7576,
#8_8.6063=8.6063                
#                                    <taxa id="TaxonSet.seqs" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.seqs"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ClockPrior.c:seqs" name="distribution">
#            <parameter id="clockRate.c:seqs" lower="0.0" name="x">0.1</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="PopSizePrior.t:seqs" name="distribution" x="@popSize.t:seqs">
#            <OneOnX id="OneOnX.0" name="distr"/>
#        </prior>
#        <prior id="RateACPrior.s:seqs" name="distribution">
#            <parameter id="rateAC.s:seqs" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.01" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateAGPrior.s:seqs" name="distribution">
#            <parameter id="rateAG.s:seqs" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.01" name="distr">
#                <parameter estimate="false" id="RealParameter.02" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.03" name="beta">20.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateATPrior.s:seqs" name="distribution">
#            <parameter id="rateAT.s:seqs" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.02" name="distr">
#                <parameter estimate="false" id="RealParameter.04" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.05" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateCGPrior.s:seqs" name="distribution">
#            <parameter id="rateCG.s:seqs" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.03" name="distr">
#                <parameter estimate="false" id="RealParameter.06" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.07" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateGTPrior.s:seqs" name="distribution">
#            <parameter id="rateGT.s:seqs" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.04" name="distr">
#                <parameter estimate="false" id="RealParameter.08" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.09" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@seqs" id="treeLikelihood.seqs" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:seqs">
#            <siteModel id="SiteModel.s:seqs" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:seqs" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:seqs" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:seqs" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="gtr.s:seqs" rateAC="@rateAC.s:seqs" rateAG="@rateAG.s:seqs" rateAT="@rateAT.s:seqs" rateCG="@rateCG.s:seqs" rateGT="@rateGT.s:seqs" spec="beast.evolution.substitutionmodel.GTR">
#                    <parameter estimate="false" id="rateCT.s:seqs" lower="0.0" name="rateCT">1.0</parameter>
#                    <frequencies id="estimatedFreqs.s:seqs" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:seqs" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:seqs" id="StrictClock.c:seqs" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	rateAC	rateAG	rateAT	rateCG	rateGT	popSize	CoalescentConstant	
0	-13755.888497339325	-13670.777932527453	-85.1105648118724	-13670.777932527453	8.542141482004567	0.1	0.25	0.25	0.25	0.25	1.0	1.0	1.0	1.0	1.0	0.3	-70.40983797866318	
1000	-10962.331600527754	-10838.60245563616	-123.7291448915923	-10838.60245563616	8.542141482004567	0.04092363913843366	0.24781787270257763	0.2589868503177379	0.25	0.24319527697968452	1.0	0.8375516032633799	1.0	1.0	1.0	1.9622564768203339	-107.32688138044055	
2000	-10524.054503211895	-10401.784182586296	-122.27032062559958	-10401.784182586296	8.012530169834578	0.030622655246350307	0.24949463103641975	0.2589868503177379	0.25	0.2415185186458424	1.0	0.8375516032633799	1.0178109818255614	1.0	1.0	6.722982043278325	-104.61806776481322	
3000	-10112.017210954744	-9979.60592325905	-132.41128769569403	-9979.60592325905	8.277867275249111	0.022370842177094254	0.25499255470446475	0.2589868503177379	0.25	0.2360205949777974	1.0	0.8375516032633799	1.0178109818255614	1.0	1.0	9.544611355309213	-114.4085899082004	
4000	-10064.374120600813	-9924.455842682459	-139.91827791835414	-9924.455842682459	8.102834338939013	0.022194720773072465	0.25499255470446475	0.25724017230662866	0.25	0.23776727298890662	1.0	0.8375516032633799	1.0178109818255614	1.0	0.827186219048016	10.937813033306188	-121.97685154011401	
5000	-10041.03772828725	-9897.883823470194	-143.15390481705626	-9897.883823470194	8.245058013150999	0.021116252592110498	0.25499255470446475	0.25724017230662866	0.25	0.23776727298890662	1.0	0.8262055515034838	1.0178109818255614	1.0	0.848431823041969	15.25401596746216	-124.86716966793226	
6000	-9917.82414718618	-9772.820880654399	-145.00326653178067	-9772.820880654399	7.986090939026561	0.019815909677659085	0.25499255470446475	0.2654249496503037	0.24181522265632496	0.23776727298890662	1.0	0.9415730650394452	0.9182894138082833	1.0	0.8757277805255479	13.178561374656853	-126.80773384165758	
7000	-9523.611674428119	-9367.407956247276	-156.20371818084212	-9367.407956247276	7.986090939026561	0.017450569443724088	0.27126674156333785	0.25728328167352077	0.24181522265632496	0.22963475410681647	1.0	0.9415730650394452	0.9182894138082833	1.0	0.8757277805255479	19.691352532200384	-137.60659728006794	
8000	-9478.868019347434	-9320.602176601717	-158.26584274571658	-9320.602176601717	8.342414734037835	0.01503531408816396	0.2705549345625205	0.2579950886743381	0.24181522265632496	0.22963475410681647	1.0	0.9415730650394452	0.9182894138082833	1.0	0.8757277805255479	24.25358774610378	-139.4603368718267	
9000	-9391.819370679912	-9230.244883949597	-161.57448673031536	-9230.244883949597	8.342414734037835	0.01468909649387164	0.2705549345625205	0.25024160468970413	0.24420613815843914	0.2349973225893363	1.0	0.9415730650394452	0.9182894138082833	1.0	0.8757277805255479	24.200441596784483	-142.77117453036146	
10000	-9234.438343108202	-9071.556468375376	-162.88187473282608	-9071.556468375376	8.29337951238177	0.014633774375661691	0.2705549345625205	0.25024160468970413	0.24420613815843914	0.2349973225893363	1.0	0.9415730650394452	0.9182894138082833	1.0	0.8757277805255479	22.94180699803084	-144.13197253445003	
11000	-9123.734923908258	-8958.71142483308	-165.02349907517694	-8958.71142483308	8.31071316295439	0.013030781903578738	0.2705549345625205	0.25024160468970413	0.24420613815843914	0.2349973225893363	1.0	0.9415730650394452	0.9182894138082833	1.0	0.8757277805255479	22.79966986259617	-146.27981169987535	
12000	-9107.179843663973	-8938.604981942253	-168.57486172172023	-8938.604981942253	8.664851819388117	0.012020137045128419	0.2705549345625205	0.24193628820650775	0.24420613815843914	0.2433026390725327	1.0	0.9415730650394452	0.9182894138082833	1.0	0.8757277805255479	25.687496355744475	-149.7119160521759	
13000	-9103.179392056822	-8933.211699953694	-169.96769210312817	-8933.211699953694	8.401302334136897	0.011585621578924298	0.27279907721361357	0.24193628820650775	0.24420613815843914	0.24105849642143962	1.0	0.7883244076169597	0.9182894138082833	1.0	0.8757277805255479	30.094823300221957	-151.12282019033762	
14000	-9111.988389163449	-8943.286508271825	-168.70188089162284	-8943.286508271825	8.807185622561306	0.012358112260033102	0.2649673876101151	0.24193628820650775	0.24420613815843914	0.24889018602493804	1.0	0.8689711513992125	0.8739238954160646	1.0	0.8757277805255479	30.562226649612484	-149.79651466370044	
15000	-9112.661846613366	-8942.919329261813	-169.74251735155363	-8942.919329261813	8.807185622561306	0.012460046963150307	0.26819225483145154	0.23466785942693777	0.24420613815843914	0.2529337475831716	1.0	0.8689711513992125	0.8739238954160646	1.0	0.7523286827887937	24.96387140436939	-151.19611410482784	
16000	-9101.272358386046	-8931.039671462917	-170.23268692312936	-8931.039671462917	8.807185622561306	0.01149406443158153	0.26346414696671244	0.23466785942693777	0.24420613815843914	0.2576618554479107	0.8624454414806777	0.8689711513992125	0.8739238954160646	1.0	0.9596000218654797	28.585439549814463	-151.45325228678107	
17000	-9105.24528868147	-8933.998696618537	-171.2465920629325	-8933.998696618537	8.912398592318352	0.011846456758381464	0.26346414696671244	0.23466785942693777	0.24420613815843914	0.2576618554479107	0.8624454414806777	0.8689711513992125	0.8739238954160646	1.0	0.9159871692085999	32.649812992355685	-152.3827655520874	
18000	-9109.887649780338	-8940.018871630822	-169.86877814951586	-8940.018871630822	8.835139518343782	0.012308735078491203	0.26346414696671244	0.23466785942693777	0.24420613815843914	0.2576618554479107	0.8624454414806777	0.8689711513992125	0.8739238954160646	1.0	0.7421325157091018	25.298833107982635	-151.47736877009828	
19000	-9093.532892497045	-8922.026471739304	-171.50642075774167	-8922.026471739304	8.86089268880586	0.011870337364965866	0.2627309223514831	0.244528429169876	0.24420613815843914	0.2485345103202018	0.8624454414806777	0.8689711513992125	0.8739238954160646	0.8160500203366029	0.8799179188285978	26.206113544261566	-153.11572325986444	
